algorithm,best_cost,cooling_rate,crossover_rate,elitism,generations,initial_temperature,max_iterations,min_temperature,mutation_rate,neighbour_strategy,population_size,runtime_seconds,seed,tournament_size
HillClimber,427.7069436072163,,,,,,10000,,,two_opt,,0.27080249998834915,16,
SimulatedAnnealing,425.50399125998206,0.995,,,,1000.0,10000,0.001,,two_opt,,0.3123424000077648,16,
GeneticAlgorithm,457.56829719322855,,0.9,True,300,,,,0.1,,100,2.4198208000016166,16,3
HillClimber,401.42424194921387,,,,,,10000,,,two_opt,,0.23116910000680946,27,
SimulatedAnnealing,401.42424194921375,0.995,,,,1000.0,10000,0.001,,two_opt,,0.26371759999892674,27,
GeneticAlgorithm,415.0533018005809,,0.9,True,300,,,,0.1,,100,2.350139499991201,27,3
HillClimber,343.82900517239295,,,,,,10000,,,two_opt,,0.2354297999991104,28,
SimulatedAnnealing,338.90486785939277,0.995,,,,1000.0,10000,0.001,,two_opt,,0.2706956999900285,28,
GeneticAlgorithm,338.9048678593929,,0.9,True,300,,,,0.1,,100,2.357084399991436,28,3
HillClimber,422.18242729351766,,,,,,10000,,,two_opt,,0.2531667000002926,67,
SimulatedAnnealing,421.5049193541135,0.995,,,,1000.0,10000,0.001,,two_opt,,0.2638736000080826,67,
GeneticAlgorithm,455.2159317523565,,0.9,True,300,,,,0.1,,100,2.398317800005316,67,3
HillClimber,355.30592765740533,,,,,,10000,,,two_opt,,0.2355433000047924,69,
SimulatedAnnealing,343.27540261865727,0.995,,,,1000.0,10000,0.001,,two_opt,,0.26549989999330137,69,
GeneticAlgorithm,365.3752389863759,,0.9,True,300,,,,0.1,,100,2.3647589000029257,69,3
HillClimber,413.5033030883997,,,,,,10000,,,two_opt,,0.2319852000073297,300,
SimulatedAnnealing,414.64639210908337,0.995,,,,1000.0,10000,0.001,,two_opt,,0.26349120000668336,300,
GeneticAlgorithm,418.35391711540467,,0.9,True,300,,,,0.1,,100,2.3527456000010716,300,3
HillClimber,421.6704246871918,,,,,,10000,,,two_opt,,0.23820559999148827,420,
SimulatedAnnealing,421.6704246871919,0.995,,,,1000.0,10000,0.001,,two_opt,,0.2656009000056656,420,
GeneticAlgorithm,511.82244436026053,,0.9,True,300,,,,0.1,,100,2.359936499997275,420,3
HillClimber,382.43432604702423,,,,,,10000,,,two_opt,,0.23453169999993406,710,
SimulatedAnnealing,374.83789122186755,0.995,,,,1000.0,10000,0.001,,two_opt,,0.27699610000126995,710,
GeneticAlgorithm,383.9977947916969,,0.9,True,300,,,,0.1,,100,2.3504374000040116,710,3
HillClimber,394.6998969502877,,,,,,10000,,,two_opt,,0.2413033000048017,1337,
SimulatedAnnealing,394.6998969502877,0.995,,,,1000.0,10000,0.001,,two_opt,,0.26806930000020657,1337,
GeneticAlgorithm,391.973088193506,,0.9,True,300,,,,0.1,,100,2.3582891000114614,1337,3
HillClimber,351.3668846062087,,,,,,10000,,,two_opt,,0.23582869999518152,12345,
SimulatedAnnealing,352.24374302637773,0.995,,,,1000.0,10000,0.001,,two_opt,,0.26486140000633895,12345,
GeneticAlgorithm,469.1623110566188,,0.9,True,300,,,,0.1,,100,2.3585593000025256,12345,3
